ID,Answers
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,1
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,1
